9,2;A remény rabjai (1994);727260
9,2;A keresztapa (1972);544185
9;A keresztapa 2. (1974);342859
8,9;Ponyvaregény (1994);571887
8,9;A jó, a rossz és a csúf (1966);227552
8,9;Tizenkét dühös ember (1957);178266
8,9;Schindler listája (1993);382118
8,8;A sötét lovag (2008);662296
8,8;A Gyűrűk Ura: A király visszatér (2003);510890
8,8;Száll a kakukk fészkére (1975);306335
8,8;A Birodalom visszavág (1980);370861
8,8;Harcosok klubja (1999);549718
8,8;Eredet (2010);515980
8,8;A hét szamuráj (1954);124847
8,7;A Gyűrűk Ura: A gyűrű szövetsége (2001);532387
8,7;Nagymenők (1990);323337
8,7;Csillagok háborúja (1977);417464
8,7;Isten városa (2002);240787
8,7;Casablanca (1942);212738
8,7;Mátrix (1999);529664
8,7;Volt egyszer egy vadnyugat (1968);104159
8,7;Hátsó ablak (1954);157251
8,7;Az elveszett frigyláda fosztogatói (1981);319501
8,7;A bárányok hallgatnak (1991);351107
8,6;Közönséges bűnözők (1995);353468
8,6;Hetedik (1995);415119
8,6;A Gyűrűk Ura: A két torony (2002);458193
8,6;Forrest Gump (1994);457937
8,6;Psycho (1960);193538
8,6;Az élet csodaszép (1946);135360
8,6;Leon, a profi (1994);300976
8,6;Alkony sugárút (1950);72564
8,6;Mementó (2000);385859
8,6;Dr. Strangelove, avagy rájöttem, hogy nem kell félni a bombától, meg is lehet szeretni (1964);194352
8,6;Apokalipszis most (1979);227226
8,5;Amerikai história X (1998);332340
8,5;Észak-északnyugat (1959);118595
8,5;Terminátor 2. - Az ítélet napja (1991);334643
8,5;Aranypolgár (1941);171497
8,5;Ryan közlegény megmentése (1998);377375
8,5;Amerikai szépség (1999);396635
8,5;Toy Story 3. (2010);196377
8,5;A nyolcadik utas: a Halál (1979);243121
8,5;Nagyvárosi fények (1931);42281
8,5;Taxisofőr (1976);225216
8,5;Chihiro szellemországban (2001);156230
8,5;Szédülés (1958);119508
8,5;Ragyogás (1980);255361
8,5;A dicsőség ösvényei (1957);59503
8,5;M - Egy város keresi a gyilkost (1931);52533
8,5;A zongorista (2002);197546
8,5;Amélie csodálatos élete (2001);254143
8,5;A tégla (2006);375209
8,4;Modern idők (1936);52617
8,4;Gyilkos vagyok (1944);49768
8,4;WALL·E (2008);281970
8,4;A mások élete (2006);114429
8,4;A bolygó neve: Halál (1986);227485
8,4;Mechanikus narancs (1971);258643
8,4;Arábiai Lawrence (1962);99635
8,4;Az élet szép (1997);158596
8,4;Ne bántsátok a feketerigót! (1962);107408
8,4;Vissza a jövőbe (1985);292054
8,4;A tengeralattjáró (1981);89980
8,4;Rekviem egy álomért (2000);263772
8,4;Egy makulátlan elme örök ragyogása (2004);308667
8,4;Kutyaszorítóban (1992);291325
8,4;Nader és Simin - Egy elválás története (2011);44178
8,4;A harmadik ember (1949);63740
8,4;A tökéletes trükk (2006);317655
8,4;Halálsoron (1999);295029
8,4;Cinema Paradiso (1988);64390
8,4;Szigorúan bizalmas (1997);216973
8,4;Kínai negyed (1974);105831
8,4;A Sierra Madre kincse (1948);42673
8,4;A diktátor (1940);53055
8,4;Gladiátor (2000);405359
8,3;Volt egyszer egy Amerika (1984);102280
8,3;Gyalog galopp (1975);199378
8,3;A vihar kapujában (1950);52313
8,3;Acéllövedék (1987);214362
8,3;Amadeus (1984);130299
8,3;Ének az esőben (1952);72844
8,3;Biciklitolvajok (1948);39826
8,3;Van, aki forrón szereti (1959);88909
8,3;Dühöngő bika (1980);119275
8,3;Mindent Éváról (1950);44525
8,3;A rettenthetetlen (1995);334181
8,3;Metropolis (1927);54797
8,3;Oldboy (2003);145189
8,3;2001: Űrodüsszeia (1968);206817
8,3;Híd a Kwai folyón (1957);77129
8,3;Legénylakás (1960);50683
8,3;A faun labirintusa (2006);220113
8,3;A Jedi visszatér (1983);288164
8,3;Nincs bocsánat (1992);137697
8,3;A nagy balhé (1973);87144
8,3;A bukás - Hitler utolsó napjai (2004);119093
8,3;A vadon hercegnője (1997);92852
8,3;Indiana Jones és az utolsó kereszteslovag (1989);233871
8,3;Becstelen brigantyk (2009);307889
8,3;Becsületből elégtelen (1939);42401
8,3;Az oroszlánkirály (1994);228993
8,3;Drágán add az életed! (1988);265042
8,3;Rakparton (1954);53014
8,3;Fel! (2009);216966
8,3;Az elefántember (1980);81132
8,3;Szentjánosbogarak sírja (1988);50910
8,3;A hetedik pecsét (1957);53457
8,3;A nagy szökés (1963);82237
8,3;A máltai sólyom (1941);64402
8,3;Gran Torino (2008);225083
8,3;A testőr (1961);38097
8,2;A Manderley-ház asszonya (1940);45702
8,2;Batman: Kezdődik! (2005);380905
8,2;A vád tanúja (1957);25046
8,2;Pár dollárral többért (1965);65735
8,2;A Generális (1926);26435
8,2;Blöff (2000);260339
8,2;Szemtől szemben (1995);204590
8,2;Fargo (1996);213564
8,2;Szárnyas fejvadász (1982);241154
8,2;A némafilmes (2011);50289
8,2;Sin City - A bűn városa (2005);338450
8,2;Káosz (1985);43411
8,2;A nap vége (1957);29879
8,2;Toy story - Játékháború (1995);237344
8,2;A gonosz érintése (1958);41551
8,2;A nagy Lebowski (1998);245587
8,2;A cápa (1975);187388
8,2;Hotel Ruanda (2004);128919
8,2;Nem vénnek való vidék (2007);280079
8,2;A szarvasvadász (1978);119478
8,2;Fekete hattyú (2010);224602
8,2;Bilincs és mosoly (1967);61382
8,2;A király beszéde (2010);162639
8,2;Óz, a csodák csodája (1939);138258
8,2;Élni (1952);21415
8,2;Hatodik érzék (1999);333730
8,2;Ez történt egy éjszaka (1934);32870
8,2;A sebhelyesarcú (1983);226398
8,2;Idegenek a vonaton (1951);46477
8,2;A Kölyök (1921);22597
8,2;Kill Bill (2003);321859
8,2;Annie Hall (1977);89719
8,2;A félelem bére (1953);19159
8,1;Délidő (1952);43869
8,1;Warrior - A végső menet (2011);75886
8,1;A szakasz (1986);148324
8,1;Aranyláz (1925);29415
8,1;Trainspotting (1996);211825
8,1;Út a vadonba (2007);167844
8,1;Butch Cassidy és a Sundance kölyök (1969);76361
8,1;A Ravasz, az Agy és két füstölgő puskacső (1998);187130
8,1;Donnie Darko (2001);287129
8,1;Virradat (1927);15650
8,1;Szemekbe zárt titkok (2009);45934
8,1;Érik a gyümölcs (1940);31127
8,1;Forgószél (1946);40025
8,1;Elfújta a szél (1939);108281
8,1;A dolog (1982);120886
8,1;Millió dolláros bébi (2004);208524
8,1;Casino (1995);152920
8,1;Gettómilliomos (2008);277227
8,1;Vérző olaj (2007);179459
8,1;Brian élete (1979);130258
8,1;Korcs szerelmek (2000);87596
8,1;Ördöngösök (1955);20700
8,1;Ben Hur (1959);78123
8,1;Idétlen időkig (1993);196892
8,1;Némó nyomában (2003);257651
8,1;Totoro - A varázserdő titka (1988);52128
8,1;Így neveld a sárkányodat (2010);131557
8,1;Hosszú álom (1946);36679
8,1;Terminátor - A halálosztó (1984);258171
8,1;Életünk legszebb évei (1946);22073
8,1;V mint vérbosszú (2005);337376
8,1;Diploma előtt (1967);107077
8,1;Állj mellém! (1986);125618
8,1;Good Will Hunting (1997);226740
8,1;12 majom (1995);228586
8,1;Kánikulai délután (1975);86406
8,1;Ítélet Nürnbergben (1961);20015
8,1;A Bourne-ultimátum (2007);219631
8,1;A mandzsúriai jelölt (1962);42891
8,1;Hálózat (1976);48940
8,1;District 9 (2009);248911
8,1;Mary és Max (2009);37776
8,1;A vadász éjszakája (1955);33614
8,1;Négyszáz csapás (1959);33060
8,1;Gandhi (1982);73370
8,1;Persona (1966);24687
8;Az algíri csata (1966);19180
8;Gyilkosság telefonhívásra (1954);43616
8;A herceg menyasszonya (1987);155548
8;8 és 1/2 (1963);40523
8;Gyilkosság (1956);33364
8;Országúton (1954);23867
8;Harakiri (1962);8161
8;A pankrátor (2008);146962
8;A svindler (1961);33193
8;L'ecsó (2007);204803
8;Életrevalók (2011);12889
8;Nem félünk a farkastól (1966);27823
8;Szent Johanna - Jeanne D'Arc (1928);15077
8;Ifjabb Sherlock detektív (1924);11869
8;Fanny és Alexander (1982);20479
8;Az ördögűző (1973);149804
8;A vándorló palota (2004);74668
8;Harry Potter és a Halál ereklyéi 2. rész (2011);164359
8;Szkafander és pillangó (2007);47677
8;A vad banda (1969);39777
8;A 17-es fogolytábor (1953);25925
8;A vágy villamosa (1951);44761
8;Rocky (1976);146199
8;Barry Lyndon (1975);52121
8;Nemes szívek, nemesi koronák (1949);17156
8;Star Trek (2009);216970
8;Nyugaton a helyzet változatlan (1930);28672
8;Cabiria éjszakái (1957);15771
8;Truman Show (1998);245661
8;Szigorúan piszkos ügyek (2002);47357
8;Egy csodálatos elme (2001);208837
8;Római vakáció (1953);43879
8;A kötél (1948);45120
8;Rosemary gyermeke (1968);72973
8;Yip Man (2008);41952
8;Tokiói történet (1953);11986
8;Születésnap (1998);35496
8;Titokzatos folyó (2003);174795
8;Engedj be! (2008);96827
8;Aki lelőtte Liberty Valance-t (1962);29689
8;Avatar (2009);417752
8;Sztalker (1979);30258
8;A Karib-tenger kalózai: A Fekete Gyöngy átka (2003);348131
8;Manhattan (1979);53790
8;Magnólia (1999);152601
8;Nagy hal (2003);197775
8;A szépség és a szörnyeteg (1991);116821
8;Jöjj és lásd! (1985);12565
8;A hihetetlen család (2004);230925
8;Nauszika - A szél harcosai (1984);33028
8;Szörny Rt. (2001);197321
8;Tropa de Elite 2 - O Inimigo Agora É Outro (2010);21845
8;Nosferatu - Drakula (1922);37943
8;Egy gyilkosság anatómiája (1959);22240
8;Erőszakik (2008);155118
8;Viharsziget (2010);250043
8;Három szín: piros (1994);32485
8;Laputa - Az égi palota (1986);33802
